Function;Loop; N; CUDA Time (ms);Thrust Time (ms);New Time (ms)
1;3;62500000;53;122;72
1;3;31250000;26;62;36
1;3;15625000;14;31;18
1;3;7812500;7;19;9
1;3;3906250;4;8;5
1;3;1953125;2;5;3
1;3;976562;1;2;2
1;3;488281;1;1;1
1;3;244140;0;1;0
1;3;122070;0;0;0
2;3;1000000000;2002;1925;12510
2;3;500000000;612;965;1275
2;3;250000000;211;486;329
2;3;125000000;106;244;164
2;3;62500000;50;123;74
2;3;31250000;26;61;35
2;3;15625000;15;30;18
2;3;7812500;8;19;9
2;3;3906250;4;11;6
2;3;1953125;2;4;3
2;3;976562;1;3;2
2;3;488281;1;2;1
2;3;244140;0;1;0
2;3;122070;0;0;0
3;3;1000000000;1456;1930;0
3;3;500000000;402;967;0
3;3;250000000;207;497;0
3;3;125000000;105;241;0
3;3;62500000;56;120;0
3;3;31250000;26;61;0
3;3;15625000;13;30;0
3;3;7812500;8;15;0
3;3;3906250;4;10;0
3;3;1953125;2;5;0
3;3;976562;1;2;0
3;3;488281;1;1;0
3;3;244140;0;0;0
3;3;122070;0;0;0
1;4;1000000000;1915;1931;40859
1;4;500000000;566;975;1457
1;4;250000000;205;487;343
1;4;125000000;111;243;166
1;4;62500000;50;122;74
1;4;31250000;26;61;36
1;4;15625000;15;31;18
1;4;7812500;7;18;10
1;4;3906250;4;10;6
1;4;1953125;2;4;3
1;4;976562;1;2;1
1;4;488281;1;1;1
1;4;244140;0;1;0
1;4;122070;0;0;0
2;4;1000000000;2084;1965;33077
2;4;500000000;554;929;1050
2;4;250000000;255;489;356
2;4;125000000;107;233;165
2;4;62500000;50;115;87
2;4;31250000;26;58;37
2;4;15625000;14;29;18
2;4;7812500;8;17;10
2;4;3906250;4;10;6
2;4;1953125;2;5;3
2;4;976562;1;2;2
2;4;488281;1;1;1
2;4;244140;0;1;0
2;4;122070;0;0;0
3;4;1000000000;1222;1858;0
3;4;500000000;430;923;0
3;4;250000000;203;461;0
3;4;125000000;99;230;0
3;4;62500000;50;115;0
3;4;31250000;26;58;0
3;4;15625000;13;29;0
3;4;7812500;7;15;0
3;4;3906250;4;9;0
3;4;1953125;2;4;0
3;4;976562;1;3;0
3;4;488281;0;2;0
3;4;244140;0;1;0
3;4;122070;0;0;0
1;5;1000000000;1647;1841;23834
1;5;500000000;559;927;1329
1;5;250000000;210;463;326
1;5;125000000;106;231;151
1;5;62500000;49;117;72
1;5;31250000;25;59;35
1;5;15625000;14;29;18
1;5;7812500;7;17;9
1;5;3906250;4;9;6
1;5;1953125;2;5;3
1;5;976562;1;2;2
1;5;488281;1;1;1
1;5;244140;0;1;0
1;5;122070;0;0;0
2;5;1000000000;2007;1950;43924
2;5;500000000;524;976;1330
2;5;250000000;247;488;359
2;5;125000000;101;245;145
2;5;62500000;50;122;73
2;5;31250000;25;61;35
2;5;15625000;15;31;19
2;5;7812500;8;18;10
2;5;3906250;4;9;5
2;5;1953125;2;5;3
2;5;976562;1;2;1
2;5;488281;1;1;1
2;5;244140;1;1;0
2;5;122070;0;0;0
3;5;1000000000;1397;1950;0
3;5;500000000;404;973;0
3;5;250000000;200;486;0
3;5;125000000;109;244;0
3;5;62500000;49;122;0
3;5;31250000;26;61;0
3;5;15625000;13;31;0
3;5;7812500;8;15;0
3;5;3906250;4;10;0
3;5;1953125;2;5;0
3;5;976562;1;2;0
3;5;488281;0;1;0
3;5;244140;0;1;0
3;5;122070;0;0;0
1;6;1000000000;1781;1945;17461
1;6;500000000;558;977;1098
1;6;250000000;210;488;329
1;6;125000000;105;245;152
1;6;62500000;49;124;72
1;6;31250000;27;62;35
1;6;15625000;14;31;18
1;6;7812500;7;18;10
1;6;3906250;4;10;6
1;6;1953125;2;5;3
1;6;976562;1;2;1
1;6;488281;1;1;1
1;6;244140;0;1;0
1;6;122070;0;0;0
2;6;1000000000;1970;1927;32631
2;6;500000000;567;922;1133
2;6;250000000;275;481;337
2;6;125000000;106;231;144
2;6;62500000;50;116;72
2;6;31250000;26;58;37
2;6;15625000;14;30;20
2;6;7812500;8;15;10
2;6;3906250;4;8;6
2;6;1953125;2;4;3
2;6;976562;1;4;2
2;6;488281;1;1;1
2;6;244140;1;1;0
2;6;122070;0;0;0
3;6;1000000000;1469;1858;0
3;6;500000000;401;916;0
3;6;250000000;210;460;0
3;6;125000000;101;233;0
3;6;62500000;49;115;0
3;6;31250000;25;58;0
3;6;15625000;13;29;0
3;6;7812500;7;15;0
3;6;3906250;4;10;0
3;6;1953125;2;4;0
3;6;976562;1;2;0
3;6;488281;1;2;0
3;6;244140;0;1;0
3;6;122070;0;0;0
1;7;1000000000;1151;1860;22863
1;7;500000000;533;919;933
1;7;250000000;210;458;327
1;7;125000000;107;231;150
1;7;62500000;50;116;73
1;7;31250000;26;58;36
1;7;15625000;14;29;18
1;7;7812500;8;16;10
1;7;3906250;4;7;6
1;7;1953125;2;5;3
1;7;976562;1;3;1
1;7;488281;1;2;1
1;7;244140;0;1;0
1;7;122070;0;0;0
2;7;1000000000;1946;1921;21634
2;7;500000000;594;924;1084
2;7;250000000;214;463;341
2;7;125000000;107;235;145
2;7;62500000;51;115;73
2;7;31250000;27;59;38
2;7;15625000;14;30;18
2;7;7812500;8;16;10
2;7;3906250;4;8;5
2;7;1953125;2;5;3
2;7;976562;1;2;2
2;7;488281;1;1;1
2;7;244140;0;1;0
2;7;122070;0;0;0
3;7;1000000000;1271;1861;0
3;7;500000000;420;923;0
3;7;250000000;211;461;0
3;7;125000000;109;229;0
3;7;62500000;50;115;0
3;7;31250000;25;58;0
3;7;15625000;13;29;0
3;7;7812500;7;15;0
3;7;3906250;4;9;0
3;7;1953125;2;4;0
3;7;976562;1;3;0
3;7;488281;1;1;0
3;7;244140;0;1;0
3;7;122070;0;0;0
1;8;1000000000;1669;1849;22150
1;8;500000000;573;924;1255
1;8;250000000;256;488;334
1;8;125000000;105;232;145
1;8;62500000;52;116;72
1;8;31250000;27;58;35
1;8;15625000;14;29;18
1;8;7812500;7;17;10
1;8;3906250;4;9;5
1;8;1953125;2;5;3
1;8;976562;1;3;2
1;8;488281;1;2;1
1;8;244140;0;1;1
1;8;122070;0;0;0
2;8;1000000000;1637;1852;48806
2;8;500000000;594;924;1120
2;8;250000000;255;490;334
2;8;125000000;106;233;151
2;8;62500000;53;115;74
2;8;31250000;25;59;35
2;8;15625000;13;29;18
2;8;7812500;8;15;9
2;8;3906250;4;7;6
2;8;1953125;3;5;4
2;8;976562;1;2;2
2;8;488281;1;2;1
2;8;244140;1;1;1
2;8;122070;0;0;0
3;8;1000000000;1212;1911;0
3;8;500000000;398;916;0
3;8;250000000;203;458;0
3;8;125000000;98;232;0
3;8;62500000;49;115;0
3;8;31250000;25;58;0
3;8;15625000;13;29;0
3;8;7812500;7;15;0
3;8;3906250;4;8;0
3;8;1953125;2;5;0
3;8;976562;1;2;0
3;8;488281;0;1;0
3;8;244140;0;0;0
3;8;122070;0;1;0
1;9;1000000000;1715;1826;19793
1;9;500000000;554;917;1024
1;9;250000000;262;465;334
1;9;125000000;106;231;144
1;9;62500000;50;118;72
1;9;31250000;25;58;36
1;9;15625000;14;29;18
1;9;7812500;8;18;9
1;9;3906250;4;9;5
1;9;1953125;2;5;3
1;9;976562;1;3;2
1;9;488281;1;1;1
1;9;244140;0;1;0
1;9;122070;0;0;0
2;9;1000000000;1654;1827;26849
2;9;500000000;541;918;1227
2;9;250000000;260;488;353
2;9;125000000;104;234;146
2;9;62500000;52;115;73
2;9;31250000;27;57;36
2;9;15625000;13;29;18
2;9;7812500;8;18;9
2;9;3906250;4;7;5
2;9;1953125;2;4;3
2;9;976562;1;2;2
2;9;488281;1;1;1
2;9;244140;0;1;0
2;9;122070;0;0;0
3;9;1000000000;1487;1838;0
3;9;500000000;416;923;0
3;9;250000000;219;460;0
3;9;125000000;100;230;0
3;9;62500000;50;115;0
3;9;31250000;25;58;0
3;9;15625000;13;29;0
3;9;7812500;7;15;0
3;9;3906250;4;9;0
3;9;1953125;2;4;0
3;9;976562;1;2;0
3;9;488281;0;2;0
3;9;244140;0;1;0
3;9;122070;0;0;0
1;10;1000000000;1870;1923;23296
1;10;500000000;492;916;1098
1;10;250000000;208;458;340
1;10;125000000;106;228;145
1;10;62500000;50;115;75
1;10;31250000;25;57;37
1;10;15625000;13;29;18
1;10;7812500;7;16;10
1;10;3906250;4;9;5
1;10;1953125;2;5;3
1;10;976562;1;3;2
1;10;488281;1;1;1
1;10;244140;1;1;0
1;10;122070;0;0;0
2;10;1000000000;1737;1854;24862
2;10;500000000;579;917;996
2;10;250000000;217;484;336
2;10;125000000;101;233;146
2;10;62500000;51;114;74
2;10;31250000;26;57;37
2;10;15625000;14;30;22
2;10;7812500;10;17;10
2;10;3906250;5;8;5
2;10;1953125;2;4;3
2;10;976562;1;2;2
2;10;488281;1;1;1
2;10;244140;0;1;0
2;10;122070;0;1;0
3;10;1000000000;1474;1836;0
3;10;500000000;390;911;0
3;10;250000000;210;455;0
3;10;125000000;110;227;0
3;10;62500000;49;115;0
3;10;31250000;25;57;0
3;10;15625000;13;29;0
3;10;7812500;7;15;0
3;10;3906250;3;9;0
3;10;1953125;2;5;0
3;10;976562;1;3;0
3;10;488281;0;1;0
3;10;244140;0;0;0
3;10;122070;0;0;0
