Function;Loop; N; CUDA Time (ms);Thrust Time (ms)
5;7;100000000;87;250
5;7;10000000;9;26
5;7;1000000;1;3
5;7;100000;0;0
5;7;10000;0;0
6;7;1000000000;1005;2437
6;7;100000000;84;269
6;7;10000000;9;27
6;7;1000000;1;3
6;7;100000;0;0
6;7;10000;0;0
7;7;1000000000;1053;2437
7;7;100000000;87;249
7;7;10000000;9;26
7;7;1000000;1;3
7;7;100000;0;0
7;7;10000;0;0
8;7;1000000000;1005;2432
8;7;100000000;84;269
8;7;10000000;9;27
8;7;1000000;1;4
8;7;100000;0;0
8;7;10000;0;0
5;8;1000000000;1048;2441
5;8;100000000;87;251
5;8;10000000;9;26
5;8;1000000;1;3
5;8;100000;0;0
5;8;10000;0;0
6;8;1000000000;1009;2436
6;8;100000000;84;269
6;8;10000000;9;26
6;8;1000000;1;3
6;8;100000;0;0
6;8;10000;0;0
7;8;1000000000;1050;2457
7;8;100000000;87;251
7;8;10000000;9;27
7;8;1000000;1;3
7;8;100000;0;1
7;8;10000;0;0
8;8;1000000000;1006;2435
8;8;100000000;84;266
8;8;10000000;9;26
8;8;1000000;1;3
8;8;100000;0;0
8;8;10000;0;0
5;9;1000000000;1042;2444
5;9;100000000;87;249
5;9;10000000;9;26
5;9;1000000;1;3
5;9;100000;0;0
5;9;10000;0;0
6;9;1000000000;1004;2439
6;9;100000000;83;269
6;9;10000000;9;26
6;9;1000000;1;3
6;9;100000;0;0
6;9;10000;0;0
7;9;1000000000;1049;2458
7;9;100000000;88;249
7;9;10000000;9;26
7;9;1000000;1;3
7;9;100000;0;1
7;9;10000;0;0
8;9;1000000000;998;2435
8;9;100000000;90;268
8;9;10000000;9;26
8;9;1000000;1;3
8;9;100000;0;0
8;9;10000;0;0
5;10;1000000000;1044;2440
5;10;100000000;86;250
5;10;10000000;9;26
5;10;1000000;1;3
5;10;100000;0;0
5;10;10000;0;0
6;10;1000000000;1003;2437
6;10;100000000;83;267
6;10;10000000;9;26
6;10;1000000;1;3
6;10;100000;0;0
6;10;10000;0;0
7;10;1000000000;1057;2463
7;10;100000000;87;248
7;10;10000000;9;26
7;10;1000000;1;3
7;10;100000;0;0
7;10;10000;0;0
8;10;1000000000;1003;2434
8;10;100000000;83;267
8;10;10000000;9;26
8;10;1000000;1;3
8;10;100000;0;0
8;10;10000;0;0
