Function;Loop; N; CUDA Time (ms);Thrust Time (ms)
8;5;10000;0;0
5;6;1000000000;1071;2464
5;6;100000000;85;250
5;6;10000000;9;27
5;6;1000000;1;3
5;6;100000;0;1
5;6;10000;0;0
6;6;1000000000;1264;2447
6;6;100000000;87;296
6;6;10000000;10;26
6;6;1000000;1;3
6;6;100000;0;1
6;6;10000;0;0
7;6;1000000000;1080;2437
7;6;100000000;86;247
7;6;10000000;9;26
7;6;1000000;1;3
7;6;100000;0;0
7;6;10000;0;1
8;6;1000000000;1024;2423
8;6;100000000;84;257
8;6;10000000;9;27
8;6;1000000;1;3
8;6;100000;0;0
8;6;10000;0;0
5;7;1000000000;1082;2433
5;7;100000000;86;249
5;7;10000000;9;27
5;7;1000000;1;3
5;7;100000;0;1
5;7;10000;0;0
6;7;1000000000;997;2427
6;7;100000000;83;256
6;7;10000000;9;26
6;7;1000000;1;3
6;7;100000;0;1
6;7;10000;0;0
7;7;1000000000;1084;2430
7;7;100000000;85;248
7;7;10000000;9;26
7;7;1000000;1;3
7;7;100000;0;1
7;7;10000;0;0
8;7;1000000000;1056;2424
8;7;100000000;84;257
8;7;10000000;9;26
8;7;1000000;1;3
8;7;100000;0;1
8;7;10000;0;0
5;8;1000000000;1082;2429
5;8;100000000;90;249
5;8;10000000;9;26
5;8;1000000;1;3
5;8;100000;0;0
5;8;10000;0;0
6;8;1000000000;1018;2424
6;8;100000000;85;257
6;8;10000000;9;27
6;8;1000000;1;3
6;8;100000;0;0
6;8;10000;0;0
7;8;1000000000;1085;2429
7;8;100000000;86;247
7;8;10000000;9;27
7;8;1000000;1;3
7;8;100000;0;0
7;8;10000;0;0
8;8;1000000000;1058;2425
8;8;100000000;84;256
8;8;10000000;10;26
8;8;1000000;1;3
8;8;100000;0;0
8;8;10000;0;0
5;9;1000000000;1084;2431
5;9;100000000;86;249
5;9;10000000;9;26
5;9;1000000;1;3
5;9;100000;0;1
5;9;10000;0;0
6;9;1000000000;1023;2429
6;9;100000000;84;258
6;9;10000000;9;26
6;9;1000000;1;3
6;9;100000;0;0
6;9;10000;0;0
7;9;1000000000;1088;2430
7;9;100000000;86;248
7;9;10000000;9;26
7;9;1000000;1;3
7;9;100000;0;1
7;9;10000;0;0
8;9;1000000000;1056;2437
8;9;100000000;84;255
8;9;10000000;9;26
8;9;1000000;1;3
8;9;100000;0;0
8;9;10000;0;0
5;10;1000000000;1079;2431
5;10;100000000;86;248
5;10;10000000;9;26
5;10;1000000;1;3
5;10;100000;0;1
5;10;10000;0;0
6;10;1000000000;1011;2429
6;10;100000000;85;258
6;10;10000000;9;26
6;10;1000000;1;3
6;10;100000;0;0
6;10;10000;0;0
7;10;1000000000;1086;2441
7;10;100000000;87;249
7;10;10000000;9;26
7;10;1000000;1;3
7;10;100000;0;1
7;10;10000;0;0
8;10;1000000000;1116;2440
8;10;100000000;87;258
8;10;10000000;9;27
8;10;1000000;1;4
8;10;100000;0;0
8;10;10000;0;1
