Function;Loop; N; CUDA Time (ms);Thrust Time (ms)
6;10;1000000;1;3
6;10;100000;0;1
6;10;10000;0;0
7;10;1000000000;1207;2642
7;10;100000000;78;387
7;10;10000000;8;25
7;10;1000000;1;3
7;10;100000;0;0
7;10;10000;0;1
8;10;1000000000;1136;2588
8;10;100000000;81;258
8;10;10000000;8;26
8;10;1000000;1;3
8;10;100000;0;1
8;10;10000;0;0
