N,Repetition,Pinned Init+Transfer (ns),Pageable Init+Transfer (ns),Managed Init+Kernel+Prefetch (ns)
160000,13,1878900,1483300,21729800
160000,14,1850400,1539000,21305500
160000,15,2022700,1478300,21488800
160000,16,1836400,1460700,21506900
160000,17,2054400,1543600,21400600
160000,18,2043100,1463900,21552600
160000,19,1902100,1472900,21878200
320000,0,2776900,2621100,27077200
320000,1,3046300,2600300,26990900
320000,2,3419300,2612000,27042100
320000,3,2935500,2714100,27114400
320000,4,2937500,2768500,27732900
320000,5,3026500,3869900,27209400
320000,6,2873900,2669600,27863500
320000,7,2829500,2660500,26520500
320000,8,2995100,2607000,27092400
320000,9,2773500,2772600,27072000
320000,10,3238700,2624000,27069200
320000,11,2974400,2798900,27298200
320000,12,2981500,2619000,27449300
320000,13,2851100,2585000,26867100
320000,14,2802100,2655700,27104100
320000,15,3001100,2630000,27203600
320000,16,2814600,2796200,26810300
320000,17,2996000,2631100,26870400
320000,18,3068500,2640900,26712700
320000,19,2882600,2649200,27108000
640000,0,5181400,5020500,37831100
640000,1,5538800,4921200,37932400
640000,2,5146100,5083700,38398000
640000,3,5130000,5210600,37926900
640000,4,5157200,4983800,38927600
640000,5,5112300,4923000,37954400
640000,6,5263600,5149000,37973600
640000,7,5060900,4926600,37794100
640000,8,5105400,5057000,38007200
640000,9,5386100,4958300,38257200
640000,10,5149100,5284200,39369500
640000,11,5245300,4942400,37971200
640000,12,5070900,4931200,38186900
640000,13,5683300,5319600,38182800
640000,14,5168100,5136900,38528500
640000,15,5172600,5418200,38038700
640000,16,5625700,5069500,38091700
640000,17,5167900,5202900,38826100
640000,18,6148300,5449100,38169900
640000,19,5246400,5459300,38134900
1280000,0,9416500,9759400,60020000
1280000,1,9936200,9653500,60082100
1280000,2,10017100,9800000,62732800
1280000,3,10880300,9566600,60721500
1280000,4,9582900,9661800,60383800
1280000,5,10521100,10433300,59682400
1280000,6,10647200,10505000,61536800
1280000,7,9805400,10083000,60679100
1280000,8,10192400,9968100,59895800
1280000,9,9347100,10311400,60959200
1280000,10,9669000,9475700,60109100
1280000,11,9854400,10350800,61173400
1280000,12,9347000,9882800,59843900
1280000,13,9618400,10235000,61324800
1280000,14,10067100,9817100,60163900
1280000,15,9773800,10243600,61445200
1280000,16,10462700,10397300,61068100
1280000,17,10539600,11438600,61048900
1280000,18,10917100,10505700,62317700
1280000,19,10249800,11299200,61360600
2560000,0,20925600,20581200,106664600
2560000,1,21263500,20668500,107081700
2560000,2,22208400,20872300,107708800
2560000,3,20051300,20666700,107390200
2560000,4,19677400,21953000,108343800
2560000,5,20044300,19423800,106541400
2560000,6,18154000,20139100,104585300
2560000,7,18203400,20096900,104369300
2560000,8,18918000,19036700,104732000
2560000,9,20485600,20009900,103773900
2560000,10,17684700,18593000,103118300
2560000,11,19428900,18140300,103117400
2560000,12,17838200,19487200,105426000
2560000,13,18014100,18306600,103948000
2560000,14,17159100,19156900,102447000
2560000,15,17376200,18799600,103366900
2560000,16,17344400,18278700,103574700
2560000,17,18192700,18254400,103350600
2560000,18,18630500,18309400,105676800
2560000,19,17279600,18987400,106951900
5120000,0,35098800,38175900,190295700
5120000,1,34912000,36688100,189642900
5120000,2,34951900,36677800,190562500
5120000,3,35217700,35797900,191539200
5120000,4,36209200,39965800,190498900
5120000,5,35579600,37564700,190707300
5120000,6,34898900,36690000,189917100
5120000,7,34853600,38340500,192255600
5120000,8,34611600,36921000,192355900
5120000,9,38375700,37114600,189879400
5120000,10,35316700,36515900,191060400
5120000,11,35200200,36780800,190600900
5120000,12,36795800,36802500,189778500
5120000,13,35636400,36888400,190774000
5120000,14,34921500,36691400,191754500
5120000,15,34833700,36544200,190670400
5120000,16,34732700,36788800,194037000
5120000,17,34723600,36587900,191150500
5120000,18,35723500,36665400,193346900
5120000,19,34159400,36274300,192038200
10240000,0,67803200,73060900,365020000
10240000,1,70051000,74294400,364622500
10240000,2,67977800,71787900,370207900
10240000,3,70111800,73192700,364962900
10240000,4,67617900,71797000,365752900
10240000,5,69776600,72685600,366548400
10240000,6,69207300,72774000,367278500
10240000,7,71353300,72021100,364283500
10240000,8,70986200,72113900,368181400
10240000,9,68658200,71979400,364446800
10240000,10,70003300,72172800,367695600
10240000,11,68588600,73336100,364117100
10240000,12,69074200,71697500,366267800
10240000,13,68123500,73044000,363978800
10240000,14,68251800,72068300,365972300
10240000,15,73687200,73464600,365686200
10240000,16,69133500,72262100,367622500
10240000,17,69010300,71915300,364513300
10240000,18,75046900,72529200,365865200
10240000,19,67570900,71870800,369417900
20480000,0,136992500,144335300,716436900
20480000,1,144983400,155236800,715320100
20480000,2,135633300,144304900,713498500
20480000,3,153775200,146045900,713328700
20480000,4,155396500,149037000,713272600
20480000,5,151349300,145283600,711455100
20480000,6,136822800,146120500,715959700
20480000,7,136927300,144188600,714724400
20480000,8,139179800,147709800,719208100
20480000,9,139318900,144149500,714081200
20480000,10,138428100,143403500,718723800
20480000,11,135427600,144208400,712091100
20480000,12,141663900,146073600,715630200
20480000,13,150766500,144217400,712938800
20480000,14,136889800,143021100,716598100
20480000,15,133775300,147882700,711570800
20480000,16,137056700,143464100,712716700
20480000,17,138286800,145075900,727653900
20480000,18,133674200,149749200,716969900
20480000,19,143481200,147222100,719562400
40960000,0,290724000,308647100,1418588200
40960000,1,312144200,285819600,1421704400
40960000,2,311085100,286068100,1422549500
40960000,3,268757400,286014400,1424335400
40960000,4,271183700,285272300,1420559400
40960000,5,268524000,289616300,1419258800
40960000,6,269504100,299223300,1420980700
40960000,7,312229500,289583600,1420298200
40960000,8,269310200,304776200,1423208700
40960000,9,314456900,298749300,1416181000
40960000,10,289482400,291270100,1418346100
40960000,11,320212900,315245600,1420403700
40960000,12,278897400,287976100,1421420900
40960000,13,270963000,290322400,1418629900
40960000,14,267368500,289337400,1417341300
40960000,15,277850300,289027600,1418025400
40960000,16,336822300,285707200,1423744400
40960000,17,278243000,287121200,1420395000
40960000,18,312265200,286731000,1416113200
40960000,19,298104800,283550200,1418076700
81920000,0,608622700,569900500,3071476800
81920000,1,541407500,573314400,3044972100
81920000,2,536916400,573449300,3028450500
81920000,3,597100000,593075800,3094950500
81920000,4,558826700,571734300,3047407800
81920000,5,554383100,573568500,3038875700
81920000,6,544919700,570026100,3019451000
81920000,7,541454700,573073800,3027989200
81920000,8,629845800,571802300,3077863100
81920000,9,596798700,571634700,3026400200
81920000,10,546945200,570952000,3061813700
81920000,11,640862300,604081000,3039034700
81920000,12,577335200,570592400,3065964600
81920000,13,614100000,577629800,3030656200
81920000,14,627381700,568972500,3085448700
81920000,15,587005300,568777200,3032761000
81920000,16,556017800,602185700,3058721500
81920000,17,552863800,611025400,3066831800
81920000,18,578056400,567888100,3031147600
81920000,19,585873000,572287400,3065602100
163840000,0,1074715200,1246603500,6142238100
163840000,1,1094199700,1144419000,6272946400
163840000,2,1405583300,1136640900,6115154900
163840000,3,1174845600,1137687300,6145098300
163840000,4,1233194300,1138670700,6098022500
163840000,5,1235884400,1143495000,6276854200
163840000,6,1226633300,1135680300,6113825400
163840000,7,1258914100,1180051400,6177641000
163840000,8,1206346500,1146657800,6126771000
163840000,9,1210327800,1144713600,6143392300
163840000,10,1114280400,1209370300,6139297700
163840000,11,1317634900,1185513800,6138864100
163840000,12,1075917700,1144078700,6263870700
163840000,13,1215557800,1239335100,6253398900
163840000,14,1244775400,1137789400,6064728100
163840000,15,1085913200,1255129200,6116740700
163840000,16,1078816700,1166476700,6256197900
163840000,17,1070202000,1142283700,6180552200
163840000,18,1088456700,1149460100,6076303100
163840000,19,1224897700,1142290200,6110003200
327680000,0,2214094100,2466770700,12646669100
327680000,1,2488262900,2282714800,12710532800
327680000,2,2475395500,2293025500,12731442400
327680000,3,2357444300,2348163800,12676433200
327680000,4,2492147100,2357003300,12692271900
327680000,5,2519696600,2293805500,12694221800
327680000,6,2145275100,2288866000,12705416300
327680000,7,2190281100,2312641000,12660935200
327680000,8,2326941600,2390199000,12760168300
327680000,9,2186605200,2304233200,12659943200
327680000,10,2216362700,2296736000,12648812300
327680000,11,2405260700,2331520600,12736060500
327680000,12,2412137300,2287051700,12666745700
327680000,13,2421288900,2300519800,12779380800
327680000,14,2341702100,2295269300,12721273800
327680000,15,2211159700,2282127600,12660601500
327680000,16,2514085500,2345475200,12697411900
327680000,17,2157655800,2285374800,12678101700
327680000,18,2239411300,2292561600,12756700100
327680000,19,2189762700,2286319600,12681191300
