Iteration,N,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
10,80000,54667100,1332900,6886200
11,80000,59194200,1512600,6179300
12,80000,55501500,1342100,6797000
13,80000,60153800,1424800,2834900
14,80000,54037300,1441300,4502500
15,80000,58413300,1482300,6802800
16,80000,61467600,1920100,9142300
17,80000,64295800,1611300,3816900
18,80000,60077200,1776900,1992900
19,80000,60378500,1386400,7296800
20,80000,58690300,1425100,1642900
1,160000,86733400,2557600,5580100
2,160000,82062900,2500500,2152300
3,160000,87116700,2817900,2140500
4,160000,88284300,2276200,3012400
5,160000,79592600,2199800,2110600
6,160000,80135700,2270400,3389600
7,160000,80832000,2317100,5008100
8,160000,85114000,2249000,3317100
9,160000,90924000,2298600,2702200
10,160000,93773600,2324100,1668100
11,160000,79984900,2263900,13433100
12,160000,92868200,2474200,7296000
13,160000,93243200,2250500,2412500
14,160000,89281900,2232900,1939500
15,160000,79959900,2250900,9455800
16,160000,86557900,2310500,6222800
17,160000,87287300,2467500,6952700
18,160000,95288500,2238600,6161700
19,160000,89251600,2528200,3249800
20,160000,99038100,2341300,4161500
1,320000,149177400,4554100,4866600
2,320000,141335700,4512900,3263100
3,320000,165311400,5351300,6013200
4,320000,151607400,4487200,3245800
5,320000,140539800,4544000,3089300
6,320000,148591300,4681300,5616500
7,320000,149283000,5003800,3569100
8,320000,144191900,4537800,3330800
9,320000,154608400,4719700,4011400
10,320000,162521500,4858500,3594400
11,320000,160683000,5089400,4891000
12,320000,162399200,4973600,2851000
13,320000,165816700,4631000,4911000
14,320000,158547100,6059600,4273100
15,320000,150400300,5332300,7581800
16,320000,148237900,4680500,6374900
17,320000,144528700,4442500,3066200
18,320000,148044800,4584300,4200300
19,320000,146856600,4749300,3465000
20,320000,146447300,4595400,3614600
1,640000,259409700,8475100,8422600
2,640000,256917899,8452200,5331800
3,640000,263672300,10216700,6417600
4,640000,257242399,9386400,23712100
5,640000,257808700,8744900,17572200
6,640000,253874100,8505300,5296000
7,640000,254621300,8636500,5332700
8,640000,254983400,8173300,4346900
9,640000,282335500,9176300,13183100
10,640000,267247100,9295100,11449000
11,640000,291532900,9401300,8153400
12,640000,290849800,8902900,8995900
13,640000,265276200,8878400,5398100
14,640000,263693100,8610400,11780000
15,640000,265146900,9627600,14947700
16,640000,262199100,9105200,9828900
17,640000,264153299,8436300,7993300
18,640000,265685200,8482300,4609100
19,640000,263282900,8563300,7449500
20,640000,289507400,8769400,10120900
1,1280000,547819700,17157800,8831600
2,1280000,591636400,19161200,12563700
3,1280000,503394200,17641000,12177500
4,1280000,509029500,17768000,22690000
5,1280000,516935100,18022800,12471000
6,1280000,553524000,17860000,9141000
7,1280000,575613600,18659300,8476900
8,1280000,493825000,16791200,24176000
9,1280000,524227699,17817200,15291200
10,1280000,500982900,18591800,15106000
11,1280000,488718700,19045500,9657500
12,1280000,545328600,18184600,8105299
13,1280000,542505600,19944700,8831400
14,1280000,491303100,16559200,9438600
15,1280000,488366200,18356200,8411000
16,1280000,489087100,17817400,8845400
17,1280000,506540200,16280400,8418400
18,1280000,575903100,16372200,7576600
19,1280000,518099100,19022700,9617700
20,1280000,496958400,17589100,7016100
1,2560000,1141499400,35874500,15164200
2,2560000,1059959799,33363100,15563100
3,2560000,1063825700,33501600,14127000
4,2560000,1054132099,32673200,14170900
5,2560000,1067554399,34653100,15210000
6,2560000,1048965600,39702900,12511500
7,2560000,1099239900,36890500,13149400
8,2560000,1169979300,36235700,14611200
9,2560000,1121409000,34132700,13372300
10,2560000,1032723099,33188500,12911900
11,2560000,1023582500,33052199,12783800
12,2560000,1055849300,31874300,12163100
13,2560000,1030284200,33241000,12541100
14,2560000,1028636300,35759300,12926000
15,2560000,1081860800,33238600,13170800
16,2560000,1059681700,33469699,12585700
17,2560000,1022831200,33445000,14433200
18,2560000,1020574099,34750400,12959200
19,2560000,1024277099,33534799,13148500
20,2560000,1056394600,35205000,14001500
1,5120000,2074515900,63648899,23716800
2,5120000,1978628700,63929299,23214600
3,5120000,1978831600,63003000,22916700
4,5120000,1978065100,63529699,23463600
5,5120000,1977826700,63083200,23430200
6,5120000,2042341700,63591499,23765200
7,5120000,2157976700,66247400,23929200
8,5120000,2109359200,63215200,23747800
9,5120000,2014901900,63890900,23526800
10,5120000,2133525699,63719200,23152500
11,5120000,2023011500,62961500,22598100
12,5120000,2003563900,63076900,22891800
13,5120000,2064495099,67131500,28321100
14,5120000,2120429500,63916700,32949399
15,5120000,2010489199,67072800,25981600
16,5120000,2156678100,67889500,26243000
17,5120000,2107104699,66406499,23774000
18,5120000,2100574400,63618900,23409000
19,5120000,2036646499,63286800,22784500
20,5120000,2227875700,63645999,23678900
1,10240000,3871844000,126829500,53052300
2,10240000,3906290700,125693100,44235500
3,10240000,3818124700,129516600,67183000
4,10240000,3934517600,127004900,71960900
5,10240000,3825137200,133459500,50740100
6,10240000,3821354900,128668399,50242000
7,10240000,4016041600,126261000,50573600
8,10240000,4007305500,125920700,54048200
9,10240000,3948995800,126060800,48772200
10,10240000,3865451100,127178500,47174100
11,10240000,3903957600,130809000,50898900
12,10240000,4154941000,128180400,49349000
13,10240000,4041333100,137181600,50718300
14,10240000,3844141700,134687100,51479200
15,10240000,3950805500,126065100,45745000
16,10240000,4103048099,130066300,63881499
17,10240000,3825978100,126454600,75595100
18,10240000,3821512300,125692400,44436600
19,10240000,3818432100,124948200,44032500
20,10240000,4615359900,136535100,59074900
1,20480000,8953296600,276147300,119681300
2,20480000,8991565300,260334200,103099500
3,20480000,8385633900,280623000,113392100
4,20480000,7882902600,258619000,97216600
5,20480000,7786351200,256234699,92099900
6,20480000,7905583000,278763300,112303600
7,20480000,8858570300,278095400,96610700
8,20480000,8636667200,265229900,103033000
9,20480000,8280238900,262698100,103491100
10,20480000,8504853300,265002300,95706000
11,20480000,7520762900,254046500,96623500
12,20480000,7489296900,276142800,97048300
13,20480000,7485836700,253134800,103219500
14,20480000,7479038500,250792799,98047200
15,20480000,7476819600,252980100,99865900
16,20480000,7469937800,253032300,98914900
17,20480000,7471713700,251185700,99038700
18,20480000,7485282900,254091599,100050500
19,20480000,7476173800,252010799,99083700
20,20480000,7484327800,251700500,98678300
1,40960000,14795203000,507352300,171635000
2,40960000,14801052700,502295700,184347900
3,40960000,14802189700,500923400,171317900
4,40960000,14782585100,500377199,175681400
5,40960000,14794937800,501260000,211316600
6,40960000,14789224100,501970000,171226700
7,40960000,15560937400,598551600,200378500
8,40960000,17031872799,570029200,197423400
9,40960000,18266587600,557552400,199555300
10,40960000,18165489300,554199400,198373800
11,40960000,17950231000,544804500,191817900
12,40960000,17370680200,528188000,231017600
13,40960000,16172884199,528914200,182020300
14,40960000,16159184900,552630000,182839600
15,40960000,16202499900,526653799,180979800
16,40960000,16188876800,528737099,184479500
17,40960000,16179956200,547032900,178932200
18,40960000,16160305500,582309000,182902800
19,40960000,16190975900,567259700,187049200
20,40960000,16175932000,524801700,182557900
