Iteration,N,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
14,640000,235993000,2766100,4328000
15,640000,236029300,2898700,4677400
16,640000,236791500,3027100,5531100
17,640000,236038800,2887600,5193300
18,640000,235238200,3310700,5192600
19,640000,237967600,3004100,5890400
20,640000,235659700,3036500,4307000
1,1280000,451884900,4989200,6986600
2,1280000,452385900,4965600,6537600
3,1280000,452907300,4964400,6907100
4,1280000,449807500,5420500,6665100
5,1280000,448939000,5055100,7316500
6,1280000,450548000,4962000,6581800
7,1280000,451468100,5092700,7152700
8,1280000,451009500,5224700,7152200
9,1280000,448753200,4941300,6895200
10,1280000,450545900,5409500,6767900
11,1280000,451265500,5431600,6756300
12,1280000,449432700,5297200,6646900
13,1280000,449850600,5441000,6813300
14,1280000,454725800,4846100,7032800
15,1280000,450319600,4999200,6452300
16,1280000,450769200,5084200,6835700
17,1280000,452016200,5220900,6766400
18,1280000,452208700,5233200,7526800
19,1280000,450998800,4936500,6376300
20,1280000,447840500,5502300,6815300
1,2560000,885064400,9301900,11053300
2,2560000,883176100,9101700,10842000
3,2560000,882530900,9291200,11535500
4,2560000,879943700,9191700,11539400
5,2560000,879695800,9230100,11021800
6,2560000,883212100,9116900,10915800
7,2560000,887080900,9628600,11147700
8,2560000,879557600,9738300,10736500
9,2560000,882878500,9783600,11045500
10,2560000,885063300,9169300,11208700
11,2560000,881716900,9411300,11076200
12,2560000,882227000,9473500,11183200
13,2560000,883838400,9270000,10726000
14,2560000,881839500,9362100,10702200
15,2560000,883093400,9717000,10773600
16,2560000,881404200,9198900,10803100
17,2560000,881349500,9197400,11163700
18,2560000,885856700,9492400,11493300
19,2560000,882174300,9510400,11369800
20,2560000,882924200,9368300,10882000
1,5120000,1744561300,20054700,20544000
2,5120000,1746566300,20298200,20860900
3,5120000,1741518300,19441500,21146100
4,5120000,1748769600,20207400,20355700
5,5120000,1746835700,19720400,21427300
6,5120000,1747752500,19697500,21744400
7,5120000,1745623200,19894900,21484600
8,5120000,1744384600,20144000,21210000
9,5120000,1746512900,19480700,20596000
10,5120000,1746430000,19939900,20770100
11,5120000,1745767500,19871100,20739600
12,5120000,1745751400,19482800,20617600
13,5120000,1750599400,20162200,20905900
14,5120000,1748038100,19674500,20829900
15,5120000,1749304000,19622500,21137600
16,5120000,1744444700,19842400,20579100
17,5120000,1751517400,19570200,20917400
18,5120000,1749906300,20196100,21511000
19,5120000,1743634400,20237400,20864200
20,5120000,1743729400,19787900,21300700
1,10240000,3473330400,38965700,40501400
2,10240000,3476143100,38299200,40190800
3,10240000,3470904100,38904900,40139400
4,10240000,3474467700,39491800,40021400
5,10240000,3466642300,39080200,39338600
6,10240000,3464235000,39413800,40228100
7,10240000,3470778200,38606800,41023000
8,10240000,3469251600,39097400,39981500
9,10240000,3472366900,39423700,39695100
10,10240000,3471627500,39754000,40338300
11,10240000,3471893300,38806100,40416400
12,10240000,3469497300,39369200,39434800
13,10240000,3470715600,38833000,40552800
14,10240000,3467545100,40432200,40552900
15,10240000,3467350400,40473900,39732600
16,10240000,3465437600,39324100,40486000
17,10240000,3472221800,39158200,41787700
18,10240000,3473676200,40236700,40023200
19,10240000,3466802800,39671500,39759800
20,10240000,3473109300,39198000,39529400
1,20480000,6912122000,76025900,80571200
2,20480000,6919795200,77012700,79076200
3,20480000,6932017300,76753300,80079800
4,20480000,6914631100,75924000,78965600
5,20480000,6916993700,76750400,78297100
6,20480000,6920873200,79727600,80082800
7,20480000,6921912900,76589400,78626400
8,20480000,6914688100,76240900,80292800
9,20480000,6921219600,76528400,80839000
10,20480000,6921471300,76298600,79465100
11,20480000,6925250900,77968400,79093800
12,20480000,6920319300,77363500,79624200
13,20480000,6916224500,77113400,80552900
14,20480000,6927824900,80487400,78758000
15,20480000,6924253000,77292400,79290200
16,20480000,6913972100,75780800,79083200
17,20480000,6925104800,78637400,78903500
18,20480000,6915757400,77726900,82776300
19,20480000,6917864900,76329700,81964600
20,20480000,6923240500,77218800,83735000
1,40960000,13834304200,153121300,194010100
2,40960000,13839778900,160389700,226525000
3,40960000,13851762200,160694100,230438100
4,40960000,13817997100,158319200,227385700
5,40960000,13854480300,158433500,209080700
6,40960000,13855317600,155751200,210044800
7,40960000,13832126000,151412600,203254400
8,40960000,13845609300,152043500,212280800
9,40960000,13833857900,152969300,195911600
10,40960000,13827258900,160229900,235006600
11,40960000,13846069600,161580700,235282200
12,40960000,13825205100,157590800,237505700
13,40960000,13856351300,156363200,215982700
14,40960000,13845232700,157392300,206163200
15,40960000,13826140600,162680000,233727400
16,40960000,13840764200,159738700,225483700
17,40960000,13822581300,163265600,207746200
18,40960000,13850350700,156135800,215055700
19,40960000,13855169600,156038500,206733300
20,40960000,13819421900,153970400,210698300
