N,Repetition,Pinned Transfer (ns),Pageable Transfer (ns),Managed Kernel (ns),Managed Prefetch+Kernel (ns)
80000,18,658900,691400,548100,749500
80000,19,1293800,765100,548400,553600
160000,0,1675700,1340400,1389600,847500
160000,1,979800,1071900,828000,834400
160000,2,1433000,1144400,828200,847900
160000,3,988500,1057100,829400,1963400
160000,4,1058600,1048100,829300,833100
160000,5,981500,1881500,1305900,833900
160000,6,980000,1066900,834500,1401600
160000,7,1073500,1041600,829100,838300
160000,8,992600,1042500,1987800,833500
160000,9,984200,1047200,828100,832100
160000,10,1443900,1172300,842600,835900
160000,11,1006400,1052800,831100,2002800
160000,12,1064300,1087000,830400,837600
160000,13,996400,1329400,1283000,841300
160000,14,1005900,1045600,830400,832300
160000,15,1892500,1150100,831100,833100
160000,16,973500,1040100,1415700,1368800
160000,17,983200,1048800,824000,835800
160000,18,1176600,1842100,823700,824300
160000,19,958900,1047700,828700,1773900
320000,0,2825700,1948300,1548500,2851700
320000,1,1718300,1864400,3057300,1504900
320000,2,1710600,2811800,1583800,1511900
320000,3,1744900,3266200,1498000,1512600
320000,4,2579800,1968500,1503200,1529000
320000,5,3480400,1883000,1500800,3363300
320000,6,2130800,1873000,2922500,1516900
320000,7,1714700,3206500,1500400,1506200
320000,8,1984700,2062800,1499900,1508600
320000,9,2035100,2342400,1499400,1503600
320000,10,2659100,2407700,1509800,2067700
320000,11,2281200,1867600,1498500,2828400
320000,12,1726600,1913700,2079100,2011500
320000,13,1723400,1865100,2910400,1509400
320000,14,1716600,2525800,1595200,1521700
320000,15,1713500,3547400,1499000,1497900
320000,16,2276100,2019300,1520100,1499700
320000,17,3065500,1894600,1500100,1747500
320000,18,2256900,1860500,1509200,3147900
320000,19,1717200,1857400,2441400,1677200
640000,0,5181900,3642200,3113300,2825800
640000,1,4477700,3532100,3280100,2823800
640000,2,4622500,4632500,2905800,4074200
640000,3,3178900,4798300,2820800,4121800
640000,4,3226500,4781700,2823500,3996700
640000,5,3437400,3543300,2821400,4176100
640000,6,3455700,3555400,2822400,3933500
640000,7,3429400,3599900,3000200,3959700
640000,8,3393500,3571700,2820600,4171800
640000,9,3453900,3555600,3054800,3914700
640000,10,3668500,3538700,3424900,3292200
640000,11,3763500,3532100,3637700,2948300
640000,12,4010600,3542200,4058100,2834900
640000,13,4487300,3436200,4134400,2824300
640000,14,4786700,3504800,3887300,2830700
640000,15,4265200,4345500,2896500,3731400
640000,16,3339600,4751300,2841300,4175000
640000,17,3220000,4837200,2828200,4161000
640000,18,3264800,4361200,3065200,3608000
640000,19,3409600,3611500,2837400,4202900
1280000,0,12754800,9109000,7396000,6948400
1280000,1,7515200,8569200,7386500,7157800
1280000,2,7045100,7563500,5964100,6925100
1280000,3,7074200,6861300,6658700,6969000
1280000,4,7167200,7020000,6792900,6904000
1280000,5,7818700,7174300,5555800,7203000
1280000,6,7290300,7005100,6646100,6797600
1280000,7,6871100,7055500,7087100,6658900
1280000,8,7204000,6966500,6986000,6849900
1280000,9,6602200,8137500,5562500,6831300
1280000,10,7669400,6946100,7137700,6281600
1280000,11,7464800,6911100,6670500,6839500
1280000,12,7665600,6965100,5978500,7171200
1280000,13,7525900,6974700,7433100,6519500
1280000,14,6228100,8102300,5654700,7163900
1280000,15,7539600,6876300,6259600,6877400
1280000,16,7503400,7154900,6286100,6882500
1280000,17,7480000,6918100,7093700,6286800
1280000,18,7460800,7158500,6254900,6805300
1280000,19,7472600,6959700,6651000,7104200
2560000,0,21834000,16771100,12925900,13211200
2560000,1,14914500,15070100,12215400,13789900
2560000,2,14066200,15055400,12236600,11490300
2560000,3,12893000,13118600,11116300,12385500
2560000,4,11972300,14133100,10816900,10821000
2560000,5,12899200,13106000,11116700,11446700
2560000,6,12276300,14606500,10816500,11130100
2560000,7,12600800,13078700,11121400,11454500
2560000,8,12281800,13676000,10818000,10821200
2560000,9,12292800,13762600,10819500,12044700
2560000,10,12596100,13086400,11518500,10826600
2560000,11,11971600,13062200,11601000,10825600
2560000,12,12284500,13271000,10820700,10824600
2560000,13,12282600,13768800,11142100,11770300
2560000,14,11982700,13400400,11430400,10836100
2560000,15,12997700,13646900,11114800,11451600
2560000,16,12001400,14053200,10821600,10835600
2560000,17,12917900,13135400,11737700,10816800
2560000,18,11993300,13157200,11702600,10822100
2560000,19,12262700,13695500,10817100,11125300
5120000,0,37922600,28264100,23101800,22438500
5120000,1,25926600,26910400,21791000,22099100
5120000,2,24017600,26628900,22177700,21481800
5120000,3,24008000,26042900,21787200,22421600
5120000,4,24232200,27374100,23404200,21886400
5120000,5,24384000,27308200,22451500,21816500
5120000,6,23754000,26368800,21869200,23030700
5120000,7,24654900,26943400,21794400,22127700
5120000,8,24015700,26813900,22402600,22240900
5120000,9,23984300,26530100,21793300,22128300
5120000,10,24628600,26817500,21477800,24291300
5120000,11,23717700,26783200,22404700,21787500
5120000,12,24269800,26527000,22123400,21785700
5120000,13,24439400,26879800,22411100,21785600
5120000,14,24304600,26827100,22424800,21795600
5120000,15,24344600,26766900,22415500,23995000
5120000,16,24660100,26717900,22406300,22412300
5120000,17,24056700,26054400,21787800,22104100
5120000,18,24425300,26876200,22415700,21484200
5120000,19,23978100,26398000,22126000,21782100
10240000,0,75282800,55468500,46438400,43735900
10240000,1,47635300,56541100,44076800,44414200
10240000,2,47897800,52385200,44037600,44402100
10240000,3,47573800,53306200,43727100,43724700
10240000,4,47615700,53624200,44032200,45270600
10240000,5,48621500,52398700,44472200,43754400
10240000,6,47783600,53042100,45932600,43995200
10240000,7,49140800,53036100,44063500,43943700
10240000,8,48015400,52666900,44910800,45858300
10240000,9,48276900,53924500,45188400,44591300
10240000,10,48186500,52912600,44669400,44859700
10240000,11,47980800,54343800,44873000,45521100
10240000,12,47815800,52922100,43897200,44569000
10240000,13,47892400,53308100,44975600,44023200
10240000,14,48200200,53774800,43960000,44869700
10240000,15,48086000,52807100,44253900,43635100
10240000,16,48995300,52961400,44672100,45178400
10240000,17,49790300,52878600,44559300,44880400
10240000,18,49065600,52789200,44627000,44882600
10240000,19,47898500,52532500,43984300,44241600
20480000,0,149463600,109393600,92267000,88849900
20480000,1,95681000,108119900,89746700,90917100
20480000,2,96763900,105615800,89640700,88673900
20480000,3,94838200,106878600,87869200,88685200
20480000,4,95833300,106584800,90884900,88779600
20480000,5,94879400,105222400,88496900,89635200
20480000,6,96463400,106663800,88781900,88743700
20480000,7,96085200,107036900,88794800,88077500
20480000,8,96338400,106453500,88738500,87749100
20480000,9,95584100,106614500,89654100,90906400
20480000,10,96559900,105765200,88694000,88689900
20480000,11,94655300,105005200,88688700,87775300
20480000,12,96786800,108079200,88140000,88527700
20480000,13,95181600,106302100,88184200,88708800
20480000,14,97267100,106662400,88471800,89601500
20480000,15,98300500,105978200,89700400,89625900
20480000,16,96255400,105742900,89660700,89619100
20480000,17,94983900,106781800,90890900,88797100
20480000,18,96365800,105284600,88529300,89688000
20480000,19,95741600,105710800,88092200,89296600
40960000,0,297976600,220075300,187242000,177332100
40960000,1,192189300,211733600,176139400,177294200
40960000,2,189860100,211424200,177389600,177632900
40960000,3,191183300,211026600,177664900,178565100
40960000,4,191024900,213783600,176681600,178237700
40960000,5,191542200,210483700,177401100,177304800
40960000,6,189802500,213326500,176509900,177359400
40960000,7,190740900,212491800,178026000,177674500
40960000,8,190664000,211253100,176787900,178356200
40960000,9,190482200,211543500,177415600,177283000
40960000,10,189692400,214232200,176222700,178268600
40960000,11,189729800,210710300,177998100,177057800
40960000,12,190965700,210404700,176471700,179516500
40960000,13,189684100,209731800,176471000,178989600
40960000,14,190893600,211424000,179274500,177364800
40960000,15,191593200,212035300,177730600,177320600
40960000,16,190740800,210179800,178301200,180480700
40960000,17,189916600,212852100,178555100,176442200
40960000,18,192446400,212970400,177325000,178250900
40960000,19,190611400,212284000,177405400,176386800
81920000,0,695190000,437375800,370540500,352430600
81920000,1,380456600,420566200,354698600,360033900
81920000,2,379368600,423471400,353744500,354799400
81920000,3,379344000,422406900,355344800,355129900
81920000,4,380659800,422348400,354239900,353562100
81920000,5,380580000,423773400,354669100,354015500
81920000,6,378463100,424840000,352690000,353925200
81920000,7,383746500,420771500,356791900,353039100
81920000,8,380460800,425048500,356429300,354538900
81920000,9,381356100,421658300,356788400,352557300
81920000,10,383941300,421749100,355480900,354758100
81920000,11,381626700,421222300,356807300,355438100
81920000,12,378076900,423160400,355483400,354582600
81920000,13,380744400,422764200,355853400,352722100
81920000,14,377569100,429878000,353632100,353635000
81920000,15,381602300,421110600,355878800,354527000
81920000,16,377736200,420216100,352773200,357382200
81920000,17,382070500,421095100,355808200,355412200
81920000,18,380359700,421622200,353033800,355246800
81920000,19,382054700,425260900,353060100,353747100
163840000,0,1355147100,890157900,742337200,710143900
163840000,1,763710200,845698700,710440100,711655100
163840000,2,761061600,848297100,707208800,709266200
163840000,3,759925000,846801400,706987800,708647800
163840000,4,760506000,843915300,711619800,712044900
163840000,5,758708400,845274900,709245100,708269100
163840000,6,761475700,848557700,712235500,708771300
163840000,7,762784000,845653400,707368900,708867100
163840000,8,759380400,842830400,712872700,708968400
163840000,9,760107100,844242500,712983900,708171200
163840000,10,761388400,843745300,708943300,708570000
163840000,11,764724000,846478400,709825300,708340100
163840000,12,760075700,842409800,710723000,709721000
163840000,13,760643600,847689000,712620500,711669600
163840000,14,759683300,847243400,710506300,707596800
163840000,15,759077600,844954700,707410500,710720600
163840000,16,762727700,845253100,710187800,709194300
163840000,17,758861800,845783200,710383200,711650600
163840000,18,762397100,845982200,713002700,710689200
163840000,19,760573200,846028500,706506300,709844700
327680000,0,2632984100,1750230500,1485467700,1423288900
327680000,1,1519521200,1687603500,1413371600,1420475200
327680000,2,1521045600,1688567300,1423426700,1414617800
327680000,3,1519257700,1682486700,1418970400,1421802300
327680000,4,1519026600,1690456500,1420852800,1413031400
327680000,5,1516805900,1688800200,1420921700,1419017000
327680000,6,1519450200,1685168900,1424550700,1416844400
327680000,7,1519698500,1687228700,1416456400,1419563400
327680000,8,1516581900,1688061900,1416375500,1417987700
327680000,9,1520870800,1685122600,1417854300,1417087600
327680000,10,1523422100,1685035800,1421557000,1420638800
327680000,11,1520352600,1688614800,1417719400,1418514400
327680000,12,1518757700,1687059600,1421668300,1419704600
327680000,13,1522258600,1689972200,1414995600,1421179400
327680000,14,1520194100,1689793200,1417776300,1420755300
327680000,15,1522957200,1688001300,1414026500,1417413300
327680000,16,1523327900,1689819400,1414157900,1414278800
327680000,17,1521521600,1690139800,1417535800,1421515000
327680000,18,1517689100,1685450600,1423537100,1419794800
327680000,19,1515344600,1691588500,1416984700,1419120600
