N,Repetition,Pinned Init+Transfer (ns),Pageable Init+Transfer (ns),Managed Init+Kernel+Prefetch (ns)
320000,12,1455900,1140300,33939500
320000,13,1434300,1232600,43184100
320000,14,1418000,1066500,37253900
320000,15,1374000,1014900,45939200
320000,16,1384700,1117400,56277600
320000,17,1461400,1120200,45620300
320000,18,1370000,1107400,49403400
320000,19,1479500,1092800,34188700
640000,0,2659800,2067000,47888800
640000,1,2310600,1983300,51566800
640000,2,2309300,1982800,47551400
640000,3,2540100,2037700,51681300
640000,4,2341400,1963300,52329900
640000,5,2417300,2092600,53913500
640000,6,2393700,1859500,47785400
640000,7,2301500,1900200,50107700
640000,8,2399500,2085600,48309200
640000,9,2403300,1908600,48036000
640000,10,2312100,1883000,54568600
640000,11,2492100,1961200,54215500
640000,12,2342400,1849700,47226800
640000,13,2369500,1949000,51809000
640000,14,2368200,1859300,57856100
640000,15,2306400,1871900,64038900
640000,16,2370400,2167800,50244100
640000,17,2534400,1904400,47833500
640000,18,2375000,1971900,51805600
640000,19,2430000,2078600,53021800
1280000,0,4708300,3597800,89103800
1280000,1,3898700,3513300,82260000
1280000,2,3807300,3736000,88712600
1280000,3,3862500,3551100,75934900
1280000,4,4153700,3488400,82804400
1280000,5,3741000,3767700,78404900
1280000,6,4015400,3483100,79104600
1280000,7,3777900,3749300,81081600
1280000,8,3790400,3885300,76130100
1280000,9,3922700,3502900,82076600
1280000,10,4391900,3554600,76176400
1280000,11,3717100,3644500,76941000
1280000,12,3832100,3616900,83109300
1280000,13,4091400,3504700,79915900
1280000,14,3703200,3847000,76093400
1280000,15,3922600,4114600,75746000
1280000,16,3882100,3640000,82532500
1280000,17,3888800,3675400,78792400
1280000,18,3726800,3457200,75905400
1280000,19,4136900,3701900,80319500
2560000,0,7138100,7634500,143283800
2560000,1,6698800,7224500,144128300
2560000,2,6857800,7080600,143237600
2560000,3,6936700,6880000,135570400
2560000,4,6783400,7184300,149156900
2560000,5,6589800,7578900,140865800
2560000,6,6490000,7299700,144655500
2560000,7,6688300,7081900,155646500
2560000,8,7518800,6897000,138542500
2560000,9,6893500,7158600,139562200
2560000,10,6901400,7327100,141102300
2560000,11,7113400,7006600,139538900
2560000,12,6762500,7098700,138605600
2560000,13,6676300,7118400,134824000
2560000,14,6724000,8866000,138931700
2560000,15,6985800,6746800,145472200
2560000,16,6900500,7285400,138776400
2560000,17,6670500,7124200,140040100
2560000,18,6493600,7550100,136323400
2560000,19,6569600,7351900,137299500
5120000,0,13808500,13630500,258620900
5120000,1,13214300,13878200,261272200
5120000,2,13455000,14071800,260131500
5120000,3,13137200,14402800,261441500
5120000,4,12974500,13803600,253700600
5120000,5,13053900,13664900,261885700
5120000,6,13134100,13688800,252600600
5120000,7,12678900,14287500,257730900
5120000,8,14792600,13942600,262093200
5120000,9,12900600,13669200,258678900
5120000,10,16430100,13626300,258006300
5120000,11,12932100,13600100,248917300
5120000,12,12950800,14313200,266617600
5120000,13,13580200,14121900,253475900
5120000,14,15124000,14082700,253205900
5120000,15,13218500,14391900,260721300
5120000,16,13323900,13898100,250956600
5120000,17,12777000,14013000,250812000
5120000,18,13781800,18242100,255001800
5120000,19,13341300,13586700,256500100
10240000,0,25619400,26442500,497866600
10240000,1,21077600,23267100,453553000
10240000,2,21131300,24510700,448854700
10240000,3,21881900,22645700,451777100
10240000,4,21501500,22929500,518658100
10240000,5,22280100,23503700,522892800
10240000,6,21509300,24069400,451895400
10240000,7,21026000,23245800,452041300
10240000,8,20998800,22964200,483240000
10240000,9,21265900,24670000,447262200
10240000,10,21356600,23151200,452433900
10240000,11,26509700,27398800,511948100
10240000,12,20993300,23355200,450426100
10240000,13,20705400,24601000,450859000
10240000,14,21273700,22858900,452635500
10240000,15,20939900,22974500,455982000
10240000,16,21986300,23226500,449011200
10240000,17,24939400,26062400,472862800
10240000,18,25569800,27177500,503623200
10240000,19,20785700,23892900,448040900
20480000,0,42576300,49592200,889609200
20480000,1,42052600,44339700,889975800
20480000,2,59603900,47296200,888569000
20480000,3,47105700,44490600,890419500
20480000,4,49705700,44105100,888236200
20480000,5,45432800,44421400,888246700
20480000,6,42628400,50334300,887921800
20480000,7,40828600,53406800,887902600
20480000,8,54140300,44622500,885900700
20480000,9,41012600,56311100,883448500
20480000,10,42714900,44063100,891308000
20480000,11,41060800,45401900,885856900
20480000,12,41034800,44354300,889209900
20480000,13,41009200,51856300,888041300
20480000,14,40824700,44153000,889858400
20480000,15,41028400,44227700,883703200
20480000,16,44621500,52057500,887937200
20480000,17,55109400,46743700,886082800
20480000,18,41224600,46361700,887739800
20480000,19,42126400,44422700,885770800
40960000,0,101632300,86081800,1751969700
40960000,1,98597500,112073500,1846913400
40960000,2,79716000,86705700,1755641300
40960000,3,85622200,86316600,1753258900
40960000,4,81214800,86183000,1741577000
40960000,5,92395300,87340800,1740701000
40960000,6,101666700,86250600,1746038600
40960000,7,88298100,86442000,1748952100
40960000,8,99823400,94526000,1749880400
40960000,9,102759900,92656500,1756604700
40960000,10,102224800,86152000,1744903500
40960000,11,97039600,102383800,1854769100
40960000,12,104330400,85914900,1747149500
40960000,13,80875700,86824800,1747900400
40960000,14,80456000,86526000,1774633900
40960000,15,95658100,89513300,1815124500
40960000,16,89787300,88881800,1740645000
40960000,17,86630400,108871300,1871696900
40960000,18,81935200,86428500,1749081900
40960000,19,82953600,93466900,1745731700
81920000,0,210005800,208377300,3794490700
81920000,1,170343800,172362900,3648270300
81920000,2,200170400,180484200,3589437800
81920000,3,179661900,196332600,3643570200
81920000,4,165080700,182853600,3595925900
81920000,5,163661500,181967500,3647749800
81920000,6,175083100,171041100,3609765900
81920000,7,172704100,183282700,3592849800
81920000,8,182399300,167487800,3625994700
81920000,9,247232700,200492700,3777077600
81920000,10,195144100,169858200,3617961100
81920000,11,180013200,187645700,3585174700
81920000,12,180427000,185563700,3646911300
81920000,13,203668200,175703900,3590308600
81920000,14,315245900,205298400,3600173500
81920000,15,166646400,173440300,3652995300
81920000,16,166804600,178598000,3604476000
81920000,17,189757900,211959800,3647133300
81920000,18,163056400,178556800,3650795600
81920000,19,252885300,187974000,3626108300
163840000,0,325860000,376170000,7297449500
163840000,1,353721500,349042200,7210132100
163840000,2,384455500,372450600,7269686500
163840000,3,327804200,353114500,7208480100
163840000,4,379856200,368337200,7279945300
163840000,5,641270100,340778500,7297896900
163840000,6,326367400,358151900,7208238300
163840000,7,405260700,339447800,7286963700
163840000,8,306848800,344154100,7230702500
163840000,9,383444300,415920800,7262286900
163840000,10,308214700,378907700,7196037400
163840000,11,343478800,378281000,7298047800
163840000,12,388986100,369939400,7344476200
163840000,13,326767400,441672600,7264004300
163840000,14,390344800,370250300,7306108400
163840000,15,347581000,333617300,7212082700
163840000,16,492469700,371329300,7220799200
163840000,17,346954100,396061500,7263825900
163840000,18,358909900,357131900,7326139500
163840000,19,410036100,346721800,7197871200
327680000,0,646754000,766987000,14035349100
327680000,1,636061700,716946600,13980973400
327680000,2,662198000,806198900,14078828100
327680000,3,643280000,829686100,14043498900
327680000,4,783961100,711625800,14211217900
327680000,5,688739000,802784800,14055529700
327680000,6,641709600,717371400,14204025900
327680000,7,625610500,819679700,14073860700
327680000,8,691287000,795938400,14042656800
327680000,9,648130400,818857200,14043315600
327680000,10,744271800,798956900,14191433800
327680000,11,762505200,769140100,14026460500
327680000,12,905243700,785044300,14033673900
327680000,13,890275500,690536200,14157112300
327680000,14,678599600,828719600,13998414400
327680000,15,715503300,684137300,14133361600
327680000,16,711015100,789408600,14095645800
327680000,17,807202100,708289200,14137843500
327680000,18,968450200,775028600,14024915700
327680000,19,734275200,778832700,14162651100
