N,Repetition,Pinned Init (ns),Pageable Init (ns),Managed Init (ns)
160000,13,671500,235200,22584100
160000,14,667400,137700,22923300
160000,15,692700,139400,22916300
160000,16,734700,138800,22319300
160000,17,837000,159400,23105200
160000,18,770700,139000,22913000
160000,19,685800,139600,22873200
320000,0,841900,407600,27975100
320000,1,870500,407100,28191600
320000,2,815000,396000,28152700
320000,3,849000,534000,27405500
320000,4,791900,494900,27045500
320000,5,921900,501800,28045600
320000,6,839000,451700,26970700
320000,7,812400,455600,27681500
320000,8,966700,456700,28276800
320000,9,1021400,500100,28262000
320000,10,6174800,460200,31611300
320000,11,944700,483200,31642900
320000,12,876200,491300,27566000
320000,13,974300,479500,27450300
320000,14,939600,466100,27265900
320000,15,857900,466800,27230300
320000,16,864200,462600,27589000
320000,17,816100,459000,26887300
320000,18,799500,447500,27904600
320000,19,805000,492700,27644700
640000,0,1751700,946200,37627200
640000,1,1480200,901000,37334900
640000,2,1508900,884300,36493800
640000,3,1465000,958400,37214100
640000,4,1777300,937800,37423300
640000,5,1534100,877200,36949200
640000,6,1534800,1129800,37443800
640000,7,1441700,868000,36878500
640000,8,1698800,867700,36934900
640000,9,1891300,881100,37791500
640000,10,1448400,762000,36886700
640000,11,1517700,799100,37443500
640000,12,1457400,895500,38277100
640000,13,1470800,872400,37519100
640000,14,1410700,883600,36735000
640000,15,1673600,937600,37602700
640000,16,4429500,909900,37415300
640000,17,1511700,894700,37167000
640000,18,1800000,885100,36903000
640000,19,1515700,917100,36818400
1280000,0,2429200,1696500,57642900
1280000,1,2509100,1611000,56087600
1280000,2,2949100,1865500,55817200
1280000,3,2528700,1901400,56395600
1280000,4,2451300,2521000,55694000
1280000,5,2405500,1483600,56308600
1280000,6,2429000,1510700,56242200
1280000,7,2363100,1512000,56288200
1280000,8,2442400,1500800,55873900
1280000,9,2410800,1498000,63125300
1280000,10,2387000,1505200,63144600
1280000,11,2444000,1626800,63217600
1280000,12,2359400,1516500,64597500
1280000,13,2480900,1527900,63351100
1280000,14,2538000,1515400,62926200
1280000,15,2511600,1500200,62400700
1280000,16,2425600,1505900,61690800
1280000,17,2512600,1503700,63419500
1280000,18,2447000,1496900,62425500
1280000,19,2408600,1930800,63541000
2560000,0,4352500,3356500,103676900
2560000,1,4265200,2958500,103466500
2560000,2,4372300,3122700,102971700
2560000,3,4305400,2995100,104158600
2560000,4,4228600,2990800,103901100
2560000,5,4404000,3108900,104246100
2560000,6,4249100,3808300,102881000
2560000,7,4286800,3015900,106606500
2560000,8,4942300,3120000,105060900
2560000,9,4234900,3007100,105217200
2560000,10,4239100,4468700,105592800
2560000,11,4365100,3811100,104637500
2560000,12,4214200,2995900,105204900
2560000,13,4507900,3061100,104559500
2560000,14,4377900,2991000,104127700
2560000,15,4395400,3036400,104339000
2560000,16,4327800,3007000,103125100
2560000,17,4346300,3119000,104965200
2560000,18,4347500,2999000,105701700
2560000,19,4482500,3080300,114934900
5120000,0,9361600,7876200,204013300
5120000,1,8790300,6311600,192170600
5120000,2,8884200,6434100,189182200
5120000,3,9335200,7544800,199225300
5120000,4,9420200,6300600,188363300
5120000,5,14099900,6803500,169330500
5120000,6,8949600,6455400,166410100
5120000,7,10527400,6515800,175252000
5120000,8,9307900,6776700,171938700
5120000,9,9184700,6480600,179258600
5120000,10,10638100,6289900,187871200
5120000,11,9428000,6755500,169608600
5120000,12,9043800,7152900,162691900
5120000,13,8812100,6246800,161147000
5120000,14,9057800,6266900,162202900
5120000,15,8976500,6161600,159361400
5120000,16,9038300,6362200,158244400
5120000,17,8899700,6122500,158743900
5120000,18,8897100,5914900,160260400
5120000,19,8969400,6905800,162497200
10240000,0,21157000,12778800,303096600
10240000,1,17951900,13388800,304144400
10240000,2,17409300,12085100,322989100
10240000,3,17066600,12485400,338563400
10240000,4,17437000,12127600,348638100
10240000,5,17253000,12232100,348506000
10240000,6,17477900,12015800,348565900
10240000,7,20850200,13017100,348401600
10240000,8,17119500,13157300,348507300
10240000,9,18541900,15440200,345702900
10240000,10,20068500,11919700,348383100
10240000,11,17320600,12102000,347472000
10240000,12,17633900,12297600,347098600
10240000,13,20463800,12356500,346035100
10240000,14,19047400,12403100,348847700
10240000,15,17184700,12152600,348165800
10240000,16,17953400,12127800,350346900
10240000,17,17704800,12550200,347628000
10240000,18,17201500,12329900,350712300
10240000,19,17644500,12450800,352744000
20480000,0,35392000,30109300,677177300
20480000,1,37170000,23463700,678770000
20480000,2,35691600,23846300,681606900
20480000,3,34129000,23491100,677560700
20480000,4,34682800,23094100,677622300
20480000,5,34349600,30015700,680142300
20480000,6,37602500,23650100,675160500
20480000,7,34756000,22952200,674761800
20480000,8,34586800,25067600,676563400
20480000,9,34266500,23046400,676721900
20480000,10,34128000,23458100,674443300
20480000,11,34108900,26511100,681799500
20480000,12,34734000,25908700,674644800
20480000,13,36424200,23032300,675917000
20480000,14,38426900,23197400,676319500
20480000,15,41866800,23978000,675260600
20480000,16,34082500,25382500,678102900
20480000,17,34550600,24187900,675106900
20480000,18,36154500,23197900,675544800
20480000,19,34533600,23168900,678750300
40960000,0,67867100,46511100,1333404300
40960000,1,72281700,47139800,1336146100
40960000,2,69875600,54784400,1337464900
40960000,3,71338500,63697900,1338039400
40960000,4,67726800,50833600,1339776700
40960000,5,68652100,47156500,1339469400
40960000,6,67526700,52534800,1334319800
40960000,7,80998800,49506500,1334689200
40960000,8,72385100,45978400,1338674000
40960000,9,68310600,64723700,1339845400
40960000,10,69014000,57533300,1332818000
40960000,11,70325500,48035100,1336980500
40960000,12,72249000,45968500,1336714600
40960000,13,67713200,51427900,1335719800
40960000,14,67285700,63118100,1339678700
40960000,15,73746400,57917200,1357444200
40960000,16,96592000,75109900,1336606900
40960000,17,67515800,46568000,1336763100
40960000,18,67267600,47045700,1340286000
40960000,19,67509300,56997800,1335866200
81920000,0,136277500,130371900,2665862700
81920000,1,206030600,97027200,2665002100
81920000,2,136521000,105623700,2659001800
81920000,3,154819900,94918000,2665909400
81920000,4,139989500,92992800,2670681200
81920000,5,133492900,108105400,2661377200
81920000,6,150019600,130433000,2661409200
81920000,7,133938800,99331000,2666594000
81920000,8,139669500,162423800,2654767100
81920000,9,139823500,106316900,2666638900
81920000,10,181333900,92337300,2664152400
81920000,11,136679700,120817000,2660780900
81920000,12,135583100,98471900,2674240400
81920000,13,132970000,105102800,2669247100
81920000,14,165955600,168950700,2668285400
81920000,15,136926600,93913800,2698380200
81920000,16,138764800,98890900,2595242200
81920000,17,146415700,95693500,2664354300
81920000,18,133928200,149687900,2661782000
81920000,19,151498900,100991600,2668885300
163840000,0,272959600,323484900,5324128000
163840000,1,293345800,187239700,5332204400
163840000,2,265724200,212645100,5335051700
163840000,3,329462700,230332100,5342256100
163840000,4,265129100,187154400,5341032400
163840000,5,378675100,216021300,5472577000
163840000,6,283992700,229353300,5424315800
163840000,7,269640400,193552200,5336097800
163840000,8,267385300,216678400,5346449400
163840000,9,311868400,190391400,5350071200
163840000,10,266120700,186730800,5337634500
163840000,11,268185100,190832600,5333159900
163840000,12,266642000,213884000,5340299100
163840000,13,273534800,231373300,5338258900
163840000,14,273007700,191302800,5346382100
163840000,15,281800000,225448200,5349803900
163840000,16,266694200,188310500,5345907400
163840000,17,264388500,315921900,5337987400
163840000,18,272044500,184328500,5336352500
163840000,19,278163700,207139900,5344519300
327680000,0,593853100,448916000,10661530100
327680000,1,719541000,446933000,10621939200
327680000,2,555948000,530239800,10646050500
327680000,3,550010300,492712100,10688670300
327680000,4,633101800,411890900,10629678800
327680000,5,654132400,536719200,10657636400
327680000,6,593248100,399322200,10656553200
327680000,7,565510600,420163700,10648399100
327680000,8,709710000,419382100,10670020100
327680000,9,599626800,428599300,10667692500
327680000,10,542987600,408656500,10665959300
327680000,11,604730200,393435000,10655635400
327680000,12,544276400,410749400,10673177800
327680000,13,565854900,434393400,10640820500
327680000,14,586508700,392005300,10666099200
327680000,15,573117200,427981700,10666908700
327680000,16,572739300,500605900,10635100500
327680000,17,585093700,433410100,10652484200
327680000,18,578434900,426560400,10660799400
327680000,19,602892400,440358000,1064888250
