Iteration,N,Expression Time (ns),GPU Vector Time (ns),Old Implementation Time (ns)
12,1280000,449614000,5192300,6974700
13,1280000,446668300,5340000,6906300
14,1280000,446877800,5273900,6561400
15,1280000,445891900,5065600,6707900
16,1280000,448085600,5509300,6710800
17,1280000,446523600,4938100,6742300
18,1280000,448703000,5496500,6853200
19,1280000,449920900,5162900,6463900
20,1280000,447652700,5085100,6628600
1,2560000,879134300,9470900,10854100
2,2560000,878778100,9429000,11281700
3,2560000,878536000,9634400,11069600
4,2560000,876840400,9355800,11312900
5,2560000,880456300,9934800,11116500
6,2560000,878639700,9300900,11196800
7,2560000,879848700,9163600,11246000
8,2560000,877588800,9990200,10825300
9,2560000,875903800,9576100,11021900
10,2560000,879498100,9381000,10890600
11,2560000,881986600,9532800,10833200
12,2560000,879064300,9606500,10857000
13,2560000,877284900,9509700,11264500
14,2560000,877889100,9936100,10933400
15,2560000,878093600,10267100,11587600
16,2560000,874925900,9169000,10973300
17,2560000,878995800,9511200,10844500
18,2560000,879792100,9133100,11338600
19,2560000,878670000,9430200,11260400
20,2560000,876744500,9829500,10989700
1,5120000,1737617600,19604700,22221400
2,5120000,1742102500,19949100,20445500
3,5120000,1747394500,19425800,20552100
4,5120000,1739340600,20101000,20211000
5,5120000,1742346800,19491700,20781600
6,5120000,1745350400,19405500,20322000
7,5120000,1742361500,20649200,20519000
8,5120000,1739551400,20866800,20645600
9,5120000,1742196100,19568700,20341100
10,5120000,1737841600,19594700,20901800
11,5120000,1738224300,20101500,20623700
12,5120000,1742814200,19498200,20449200
13,5120000,1742024100,19523900,20865900
14,5120000,1736392100,19288900,20165500
15,5120000,1744910700,20448300,20761700
16,5120000,1740632600,20072300,20144100
17,5120000,1743997000,20071600,20360400
18,5120000,1736401900,20214800,20129400
19,5120000,1735899500,21650700,22463000
20,5120000,1750179100,20124400,20357100
1,10240000,3463753600,38302900,39817200
2,10240000,3468703700,38218400,39707100
3,10240000,3460933300,38933600,39378100
4,10240000,3462912400,38502100,40338100
5,10240000,3464676300,38193600,39894300
6,10240000,3460487200,38840700,39467100
7,10240000,3466894400,39036300,39880200
8,10240000,3463777600,38842100,39391900
9,10240000,3463130200,38005600,39118400
10,10240000,3464049100,39193500,38944700
11,10240000,3465050700,38951900,39738800
12,10240000,3459786500,38918700,40093900
13,10240000,3459685500,38557100,39077500
14,10240000,3464122700,38235200,40236700
15,10240000,3459164100,39026200,39472100
16,10240000,3465555900,38090000,39136900
17,10240000,3455895500,39015000,40196300
18,10240000,3470092100,38273300,39613700
19,10240000,3461689400,38681700,41222300
20,10240000,3456890300,38705700,40043500
1,20480000,6898851800,76790000,79375000
2,20480000,6902977400,75482300,79289400
3,20480000,6908383700,75316900,79104600
4,20480000,6901964100,76053200,79293300
5,20480000,6897064400,75885700,79396000
6,20480000,6892344600,76757700,79062000
7,20480000,6897265400,75860200,78641300
8,20480000,6905152200,75528300,80271800
9,20480000,6896779800,75432800,79301000
10,20480000,6907834000,79485800,79367700
11,20480000,6900466500,77188500,79023000
12,20480000,6896751200,75834800,79705900
13,20480000,6895450800,76245300,78705900
14,20480000,6903054100,77239600,84084700
15,20480000,6894352000,75876000,80118700
16,20480000,6905702300,75423300,79027900
17,20480000,6905536200,75707100,78786500
18,20480000,6908926800,76412700,78498500
19,20480000,6908485200,76117000,78626700
20,20480000,6897721300,77000300,78646100
1,40960000,13771594500,150192100,153268600
2,40960000,13772394100,151007600,154556100
3,40960000,13784859100,151424500,152655900
4,40960000,13783473200,150398400,153655100
5,40960000,13782098800,150113000,156327200
6,40960000,13779178000,149888600,153272100
7,40960000,13787115100,150665200,153365700
8,40960000,13800136400,150363800,154168000
9,40960000,13777750900,149225800,160861500
10,40960000,13780265400,150179200,154499600
11,40960000,13781711800,149293000,153259500
12,40960000,13789057300,149912100,153055600
13,40960000,13788774300,149962100,155388700
14,40960000,13763445000,154728800,153922900
15,40960000,13766319700,150670900,153847100
16,40960000,13787198600,149226600,153366700
17,40960000,13776332300,150684100,154037700
18,40960000,13791384200,151490300,156699100
19,40960000,13780466500,151150600,153810700
20,40960000,13787891900,150364300,153503000
