N,Repetition,Pinned Init (ns),Pageable Init (ns),Managed Init (ns)
320000,13,880800,557400,26651900
320000,14,857700,618100,27281500
320000,15,796100,492600,27327800
320000,16,722100,489700,26423800
320000,17,733000,484100,26909100
320000,18,746000,481700,26871000
320000,19,748100,484900,26203700
640000,0,1635500,979800,36441500
640000,1,1366200,932800,36350000
640000,2,1359800,1040100,36447800
640000,3,1593800,928300,36352500
640000,4,1340600,946700,36870100
640000,5,1415800,1175200,36237400
640000,6,1418600,942000,36239400
640000,7,1332800,957800,36493500
640000,8,1589500,1000800,35686300
640000,9,1342000,935800,36197900
640000,10,1357800,1095300,36659400
640000,11,1529400,944000,36669500
640000,12,1370600,948400,36245800
640000,13,1481500,1098300,36029100
640000,14,1464900,921000,36187000
640000,15,1324800,1014800,36668000
640000,16,1650800,986900,36307300
640000,17,1403700,950700,36068400
640000,18,1397600,1083600,36291300
640000,19,1469400,960500,36242800
1280000,0,2235200,2073200,56224000
1280000,1,2419800,1889300,55577300
1280000,2,2332700,1824600,55651900
1280000,3,2574900,1895600,59630900
1280000,4,2226300,2040300,60833200
1280000,5,2368600,1856800,60492900
1280000,6,2401100,2685300,60281800
1280000,7,2248300,1996600,60903700
1280000,8,2401600,1884800,61141900
1280000,9,2360300,2008900,60505900
1280000,10,2286100,2617500,60497800
1280000,11,2407500,1890000,61512400
1280000,12,2317900,2059100,64738100
1280000,13,2361400,1899800,60980100
1280000,14,2356700,2017800,60162100
1280000,15,2323100,1956600,65472300
1280000,16,2218700,1868800,60938800
1280000,17,2477900,1968300,60815200
1280000,18,2205300,1993600,61367200
1280000,19,2408600,1856700,60258300
2560000,0,4305700,3735700,103066600
2560000,1,4244800,3805700,102361400
2560000,2,4047500,3875100,102401100
2560000,3,4059000,3823200,102234800
2560000,4,4158400,3815100,102777300
2560000,5,4137800,3864600,102210400
2560000,6,4159600,3859600,103246700
2560000,7,3973300,4069900,101854200
2560000,8,3941600,3914500,101020900
2560000,9,3975900,3836400,100924600
2560000,10,4176300,3697800,102179300
2560000,11,4442800,3840300,101980400
2560000,12,4136200,3916400,102296400
2560000,13,4036800,3968700,101958800
2560000,14,3973300,3945400,106356800
2560000,15,3999200,4076200,102778700
2560000,16,3955800,3967700,101828000
2560000,17,4082100,3868300,100797000
2560000,18,4295700,3665600,102134300
2560000,19,4911700,5092300,102021800
5120000,0,8121100,7651200,186649100
5120000,1,8121800,7586700,188069600
5120000,2,8646800,7701800,188127300
5120000,3,8133300,7710100,186482000
5120000,4,7943200,7650600,185892700
5120000,5,8132500,7613000,187168800
5120000,6,7976600,7582300,188526700
5120000,7,10476800,7564400,189920600
5120000,8,8031500,7938400,186264600
5120000,9,8065500,7600900,187007200
5120000,10,8136400,7634400,187593500
5120000,11,8065200,7701100,188193500
5120000,12,8052000,7584300,186089000
5120000,13,10293100,7498900,185525200
5120000,14,8228300,7643900,186366900
5120000,15,8691400,8084700,186434100
5120000,16,8634100,8032000,186745600
5120000,17,8064200,7609000,190019600
5120000,18,9837500,7591200,188321000
5120000,19,8069500,7732400,186983100
10240000,0,17809900,14994200,358937900
10240000,1,15870900,15289100,356151100
10240000,2,15905100,15341800,356269000
10240000,3,20947700,15111500,354347500
10240000,4,19283300,15174100,360218400
10240000,5,18130800,15182600,357695400
10240000,6,15851500,15561300,357517600
10240000,7,15899000,15338200,354866500
10240000,8,17448000,15184200,354624400
10240000,9,15836100,20582800,357848900
10240000,10,15957200,16601400,355941500
10240000,11,18414800,15188400,354902200
10240000,12,15832300,15039300,355574500
10240000,13,24352200,15217000,353822900
10240000,14,15869500,15172100,355857600
10240000,15,16863000,15640600,354398800
10240000,16,15813400,15299500,355179500
10240000,17,15696800,24009200,354856800
10240000,18,15890500,15261000,354586700
10240000,19,15887600,23170900,356270400
20480000,0,33841600,30398100,694570500
20480000,1,36117100,30508900,696272200
20480000,2,37152700,30054800,696178900
20480000,3,50429000,30065400,696073000
20480000,4,31600400,31792600,693941200
20480000,5,34156300,42546000,692338200
20480000,6,31778900,30283700,696024100
20480000,7,33679100,48026900,695278500
20480000,8,31528100,46980400,697433100
20480000,9,31273700,32432800,693344300
20480000,10,48033200,30650600,689736800
20480000,11,33755500,30736000,695480800
20480000,12,31749700,32670800,696402600
20480000,13,36029000,31179100,696966400
20480000,14,32006600,30520100,693580900
20480000,15,38009700,31249900,693620500
20480000,16,31625300,30108000,699187900
20480000,17,37220100,31482500,694800600
20480000,18,31753400,30006100,692721900
20480000,19,31629400,31310300,692823100
40960000,0,65542000,62365600,1368702600
40960000,1,66738500,60375700,1373338100
40960000,2,71835100,60737200,1378319000
40960000,3,65729400,64271100,1376805700
40960000,4,63015900,62470900,1373103200
40960000,5,63026100,80867000,1367963300
40960000,6,69766200,60269400,1371238300
40960000,7,76030300,60255300,1371259600
40960000,8,64963300,65168800,1376345200
40960000,9,113253200,60402700,1378763000
40960000,10,69453300,60809400,1377391700
40960000,11,67841300,68522500,1372335700
40960000,12,66839700,60373600,1370307100
40960000,13,65989400,70304700,1379194700
40960000,14,98460600,61746900,1373251500
40960000,15,75748200,80304400,1371668000
40960000,16,94599500,94439100,1376316900
40960000,17,71385000,60378100,1370993500
40960000,18,77121600,59972100,1370526400
40960000,19,62350700,77359500,1368574500
81920000,0,128645200,124610300,2737685100
81920000,1,145580500,126321800,2726928800
81920000,2,286543000,144432300,2730690700
81920000,3,140496600,122080500,2730344600
81920000,4,139248200,126808200,2731183500
81920000,5,146668800,147695400,2731327900
81920000,6,131933400,124165000,2727593100
81920000,7,136572500,123014500,2732568400
81920000,8,126044000,186681600,2733472800
81920000,9,126729100,121073600,2731271900
81920000,10,125512200,162343000,2735973000
81920000,11,180822700,207567000,2730054400
81920000,12,142435700,129911000,2732029800
81920000,13,200412100,153236800,2725043700
81920000,14,135093600,130949100,2734996100
81920000,15,139968100,155840200,2739485300
81920000,16,254100100,167663900,2730461600
81920000,17,126771400,138486600,2735783100
81920000,18,140644300,121548400,2738442100
81920000,19,129560700,140418100,2730414200
163840000,0,432007900,242570800,5473822600
163840000,1,401774200,304612600,5470656800
163840000,2,262710600,246341200,5474140700
163840000,3,268840900,242424500,5474967100
163840000,4,265046300,266288600,5488255400
163840000,5,268326800,246658900,5462225000
163840000,6,287734500,264188000,5479494400
163840000,7,329287500,327837500,5472308800
163840000,8,323124400,249815700,5470227100
163840000,9,267311600,252148900,5480521700
163840000,10,254189700,287557500,5466075700
163840000,11,354079700,243153600,5468632700
163840000,12,302923800,296365400,5468827700
163840000,13,261541200,299490300,5505302400
163840000,14,305889000,249917600,5468924300
163840000,15,274988000,245795000,5471342000
163840000,16,356482800,254572200,5465370200
163840000,17,291451500,270626300,5466030500
163840000,18,420136000,247415900,5466012900
163840000,19,276448400,247767000,5465298000
327680000,0,540027100,515018500,10900577600
327680000,1,534667200,594940500,11015242000
327680000,2,562714800,501969000,10914933200
327680000,3,902598200,582085400,10910241800
327680000,4,774186700,494443800,10909320700
327680000,5,530548900,491398200,10916830600
327680000,6,558581200,553405200,10909555700
327680000,7,530321100,502394600,10928799400
327680000,8,538823900,492696400,10900567100
327680000,9,1049970000,507656700,10905379600
327680000,10,561174400,485544200,10902988400
327680000,11,554169400,550546700,10911081200
327680000,12,610336400,516464100,10906628500
327680000,13,659917200,491018400,10913562200
327680000,14,766219900,516615700,10924930600
327680000,15,901916400,495640200,10915294000
327680000,16,539365700,530103400,10917693300
327680000,17,538369200,531993000,10908713500
327680000,18,543633000,527631400,10908231200
327680000,19,580454100,485446300,10913297200
